rank,canonical_url,explicit_citations,raw_url_variants,prompt_instances,days_seen_of_31,providers
43,https://wellows.com/tools/ai-overviews-tracker/,31,8,24,19,"gemini,google_ai_mode,google_ai_overview"
44,https://wellows.com/methodology/,24,2,24,19,"google_ai_mode,openai"
45,https://wellows.com/blog/ai-visibility-for-growth-marketing-agencies/,23,2,22,15,"google_ai_mode,google_ai_overview,openai"
46,https://wellows.com/blog/ai-search-visibility-audit-checklist/,21,1,21,20,"google_ai_mode,perplexity"
47,https://wellows.com/blog/author/khadija-zaman/,20,1,20,19,"google_ai_overview,perplexity"
48,https://wellows.com/blog/rankscale-vs-wellows/,20,4,11,4,"gemini,google_ai_mode,google_ai_overview,openai"
49,https://wellows.com/features/ai-visibility-score/,20,10,14,10,"gemini,google_ai_mode,google_ai_overview,openai"
50,https://wellows.com/blog/update-strategy/,18,1,17,16,"google_ai_mode,google_ai_overview,perplexity"
51,https://wellows.com/features/llm-visibility/,18,2,18,16,"openai,perplexity"
52,https://wellows.com/blog/framework-checklist/,16,2,16,15,"gemini,google_ai_mode,google_ai_overview"
53,https://wellows.com/blog/optimize-seo-with-ai-brand-sentiment-tracking/,16,1,16,16,perplexity
54,https://wellows.com/blog/audit-checklist/,12,2,12,10,"gemini,google_ai_mode,google_ai_overview,perplexity"
55,https://wellows.com/blog/how-to-rank-in-perplexity/,12,1,12,9,google_ai_mode
56,https://wellows.com/tools/chatgpt-visibility-tracker/,11,3,10,9,"gemini,google_ai_overview,openai,perplexity"
57,https://wellows.com/blog/effective-llm-citation-strategies/,10,1,10,10,"google_ai_overview,perplexity"
58,https://wellows.com/blog/how-ai-selects-sites-to-cite/,10,1,9,9,"google_ai_mode,google_ai_overview,perplexity"
59,https://wellows.com/blog/generative-engine-optimization-checklist-brand-visibility/,9,1,9,9,google_ai_overview
60,https://wellows.com/blog/strategy-checklist/,9,1,9,9,google_ai_mode
61,https://wellows.com/blog/how-agencies-monitor-mentions-ai-search/,8,3,7,7,"gemini,openai"
62,https://wellows.com/blog/how-to-use-ai-for-competitor-analysis/,8,2,8,8,"gemini,google_ai_mode,google_ai_overview,perplexity"
63,https://wellows.com/blog/agency-reporting-for-ai-search/,7,3,2,2,gemini
64,https://wellows.com/blog/ai-visibility-for-digital-marketing-agencies/,7,2,7,5,"google_ai_mode,google_ai_overview,openai"
65,https://wellows.com/blog/brand-mentions-vs-citation/,7,2,7,7,"gemini,google_ai_mode,google_ai_overview"
66,https://wellows.com/blog/ai-visibility-deliverables-checklist-for-agencies/,5,1,5,5,perplexity
67,https://wellows.com/blog/content-readability-in-seo/,5,1,5,5,"google_ai_mode,google_ai_overview"
68,https://wellows.com/blog/how-to-use-ai-to-find-content-gaps/,5,1,5,5,google_ai_mode
69,https://wellows.com/blog/ai-visibility-reporting-checklist-for-agencies/,4,1,4,4,"google_ai_mode,google_ai_overview"
70,https://wellows.com/blog/keyword-strategy-checklist/,4,1,4,4,google_ai_mode
71,https://wellows.com/blog/llm-seeding/,4,1,4,4,"google_ai_mode,google_ai_overview"
72,https://wellows.com/blog/perplexity-search-visibility-tips/,4,1,4,4,"google_ai_mode,google_ai_overview"
73,https://wellows.com/blog/without-team/,4,1,4,4,"google_ai_mode,google_ai_overview"
74,https://blog.wellows.com/llm-seo/,3,1,3,3,openai
75,https://wellows.com/blog/ai-seo/,3,1,3,3,google_ai_mode
76,https://wellows.com/blog/multi-client-ai-reporting-checklist-for-agencies/,3,1,3,3,perplexity
77,https://wellows.com/blog/search-engine-visibility/,3,1,3,3,"google_ai_mode,google_ai_overview"
78,https://wellows.com/blog/wellows-vs-brandlight/,3,1,3,3,"google_ai_mode,perplexity"
79,https://wellows.com/solutions/marketing-consultants/,3,1,3,3,"google_ai_mode,perplexity"
80,https://wellows.com/blog/ai-overviews-optimization/,2,1,2,2,google_ai_overview
81,https://wellows.com/blog/best-practices-content-optimization/,2,1,2,2,openai
82,https://wellows.com/blog/generative-engine-visibility-factors/,2,1,2,2,google_ai_overview
83,https://wellows.com/blog/geo/,2,1,2,2,google_ai_overview
84,https://wellows.com/blog/readability-score-in-ai-content/,2,1,2,2,"google_ai_mode,google_ai_overview"
85,https://wellows.com/updates/,2,2,2,2,"google_ai_overview,openai"
86,https://wellows.com/wp-content/uploads/2026/01/Technical-SEO-Checklist-for-Agencies-2026-.pdf,2,1,2,2,google_ai_mode
87,https://wellows.com/blog/agency-checklist-for-transitioning-from-seo-to-geo/,1,1,1,1,google_ai_mode
88,https://wellows.com/blog/ai-content-optimization-checklist/,1,1,1,1,openai
89,https://wellows.com/blog/ai-search-visibility-for-b2b-saas-brands/,1,1,1,1,perplexity
90,https://wellows.com/blog/ai-search-visibility-for-mobile-app-businesses/,1,1,1,1,google_ai_mode
91,https://wellows.com/blog/ai-search-visibility-with-knowledge-graphs/,1,1,1,1,google_ai_mode
92,https://wellows.com/blog/ai-visibility-for-insurance-marketing-agencies/,1,1,1,1,google_ai_overview
93,https://wellows.com/blog/ai-visibility-measurement/,1,1,1,1,openai
94,https://wellows.com/blog/audit-checklist-for-agencies/,1,1,1,1,google_ai_mode
95,https://wellows.com/blog/brand-signals/,1,1,1,1,google_ai_mode
96,https://wellows.com/blog/content/,1,1,1,1,google_ai_mode
97,https://wellows.com/blog/google-rankings-and-llm-citations-gap/,1,1,1,1,google_ai_mode
98,https://wellows.com/blog/how-agencies-deliver-ai-search-visibility/,1,1,1,1,perplexity
99,https://wellows.com/blog/how-agencies-find-ai-visibility-gaps/,1,1,1,1,perplexity
100,https://wellows.com/blog/how-google-ai-overviews-shape-local-seo-results/,1,1,1,1,openai
101,https://wellows.com/blog/on-page-seo-analysis/,1,1,1,1,google_ai_mode
102,https://wellows.com/blog/optimize-conversational-ai-search-queries/,1,1,1,1,google_ai_mode
103,https://wellows.com/blog/search-engine-ranking-factors/,1,1,1,1,google_ai_mode
104,https://wellows.com/blog/seo-outreach/,1,1,1,1,google_ai_mode
105,https://wellows.com/blog/social-media-marketing-agencies/,1,1,1,1,google_ai_mode
106,https://wellows.com/blog/user-intent/,1,1,1,1,google_ai_mode
107,https://wellows.com/blog/what-is-generative-engine-optimization/,1,1,1,1,google_ai_overview
108,https://wellows.com/blog/why-content-optimization-feels-way-harder-than-seo/,1,1,1,1,google_ai_overview
109,https://wellows.com/features/content-creation/,1,1,1,1,openai
110,https://wellows.com/tools/free-ai-humanizer/,1,1,1,1,google_ai_mode
